"Pickup address";"Ride price";"Booking fee";"Tip";"Payment method";"Distance";"Order date";"Time of Order";"Payment date";"Time of Payment"
"C.G.H.U. Parklands Secondary School, Nairobi";270.0;12.65;0.0;"Cash";5.0;"2023-01-21";"08:00:00";"2023-01-21";"08:15:00"
"Donholm Road, Nairobi";620.0;29.07;0.0;"Cash";15.0;"2023-01-21";"07:33:00";"2023-01-21";"07:58:00"
"Caltex Road, Nairobi";800.0;37.21;0.0;"Cash";19.0;"2023-01-20";"07:50:00";"2023-01-20";"08:20:00"
"Galleria Shopping Mall, Nairobi";1010.0;45.73;0.0;"Cash";21.0;"2023-01-19";"13:28:00";"2023-01-19";"14:09:00"
"Block -2B, Nairobi";290.0;13.46;0.0;"Cash";5.0;"2023-01-19";"12:45:00";"2023-01-19";"13:17:00"
"Mkoma Road, Nairobi";370.0;17.79;0.0;"Cash";8.0;"2023-01-19";"12:19:00";"2023-01-19";"12:36:00"
"Jadala Place, Ngong Lane, Nairobi";450.0;21.27;0.0;"Cash";9.0;"2023-01-19";"11:43:00";"2023-01-19";"12:15:00"
"Riverside Drive 50, Nairobi";320.0;15.24;0.0;"Cash";6.0;"2023-01-19";"10:54:00";"2023-01-19";"11:25:00"
"James Gichuru Road 90, Nairobi 00100";240.0;10.97;0.0;"Cash";3.0;"2023-01-19";"10:28:00";"2023-01-19";"10:40:00"
"Kilifi Close, Nairobi";500.0;23.78;0.0;"Cash";10.0;"2023-01-19";"08:19:00";"2023-01-19";"09:28:00"
"Savannah Road, Nairobi";420.0;19.86;0.0;"Cash";5.0;"2023-01-19";"07:41:00";"2023-01-19";"08:17:00"
"Mwanzi Road Westgate Mall, Nairobi 00100";1040.0;46.71;0.0;"Cash";27.0;"2023-01-18";"21:13:00";"2023-01-18";"22:03:00"
"Madina Estate, Nairobi";500.0;23.77;0.0;"Cash";10.0;"2023-01-18";"20:40:00";"2023-01-18";"21:09:00"
"Muiri Lane 36, Nairobi";510.0;23.89;0.0;"Cash";12.0;"2023-01-18";"19:55:00";"2023-01-18";"20:36:00"
"The Hub Karen, Dagoretti Road Nairobi, Nairobi";490.0;23.44;0.0;"Cash";10.0;"2023-01-18";"18:52:00";"2023-01-18";"19:18:00"
"Mweni Road, Nairobi";1020.0;48.63;0.0;"Cash";24.0;"2023-01-18";"16:46:00";"2023-01-18";"18:02:00"
